Date, Open, High, Low, Close, Volume
09/05/23, 38.00, 39.35, 38.00, 38.20, 29900
09/04/23, 38.50, 39.00, 37.80, 38.10, 600100
09/01/23, 39.50, 39.50, 38.00, 38.45, 430500
08/31/23, 39.50, 39.50, 38.00, 38.85, 1634900
08/30/23, 39.50, 39.50, 39.35, 39.50, 27900
08/29/23, 40.00, 40.00, 39.15, 39.50, 1013700
08/28/23, 39.60, 39.60, 39.40, 39.55, 23400
08/25/23, 39.60, 39.60, 39.40, 39.50, 49800
08/24/23, 39.55, 39.90, 39.45, 39.45, 854900
08/23/23, 39.45, 40.00, 39.45, 39.45, 15900
08/22/23, 39.40, 39.50, 38.90, 39.15, 950800
08/21/23, 40.05, 40.05, 38.85, 39.05, 1781000
08/18/23, 40.70, 40.70, 40.50, 40.60, 12200
08/17/23, 41.00, 42.00, 40.05, 40.75, 162300
08/16/23, 40.00, 40.75, 39.50, 40.65, 523500
08/15/23, 40.80, 41.00, 39.10, 40.70, 235000
08/14/23, 40.85, 41.30, 40.85, 41.00, 2848700
08/11/23, 41.50, 42.00, 40.50, 41.00, 2588400
08/10/23, 41.00, 42.00, 40.80, 41.00, 3037900
08/09/23, 41.55, 42.00, 40.60, 41.00, 8048000
08/08/23, 41.55, 42.00, 40.80, 41.00, 1605800
08/07/23, 41.00, 41.50, 41.00, 41.00, 1655200
08/04/23, 40.05, 41.50, 40.05, 41.00, 79800
08/03/23, 41.00, 41.00, 40.45, 40.55, 160700
08/02/23, 41.50, 42.25, 40.00, 40.45, 411000
08/01/23, 41.00, 42.25, 41.00, 41.50, 28500
07/31/23, 42.25, 42.25, 40.00, 41.00, 408900
07/28/23, 43.00, 43.00, 40.50, 40.60, 119400
07/27/23, 43.00, 43.50, 39.50, 39.70, 792700
07/26/23, 44.50, 44.50, 41.00, 42.65, 420300
07/25/23, 44.45, 45.50, 44.45, 44.90, 986200
07/24/23, 44.80, 44.80, 44.35, 44.50, 1034100
07/21/23, 44.50, 44.80, 44.35, 44.45, 798900
07/20/23, 44.20, 44.50, 44.10, 44.25, 3722300
07/19/23, 44.05, 44.35, 44.05, 44.20, 118000
07/18/23, 43.80, 44.50, 43.65, 44.00, 3094300
07/17/23, 43.45, 43.60, 43.00, 43.50, 1077400
07/14/23, 43.00, 43.50, 43.00, 43.05, 144700
07/13/23, 42.50, 43.00, 42.50, 43.00, 1230900
07/12/23, 42.50, 42.80, 41.00, 42.50, 2045200
07/11/23, 41.80, 42.80, 40.85, 41.55, 1458500
07/10/23, 40.50, 42.50, 40.00, 40.85, 394100
07/07/23, 40.50, 40.50, 40.00, 40.00, 3589900
07/06/23, 39.70, 40.50, 39.50, 39.85, 1604300
07/05/23, 39.60, 39.60, 39.20, 39.25, 414600
07/04/23, 39.60, 39.60, 39.00, 39.20, 768600
07/03/23, 38.25, 39.75, 38.25, 38.30, 1194900
06/30/23, 38.75, 38.95, 38.00, 38.25, 1114400
06/29/23, 38.75, 39.90, 38.30, 38.75, 38900
06/27/23, 39.90, 39.90, 38.00, 38.75, 147900
06/26/23, 37.50, 38.50, 37.45, 37.50, 1338100
06/23/23, 37.30, 37.50, 37.10, 37.50, 1154800
06/22/23, 38.00, 38.00, 37.00, 37.45, 1310800
06/21/23, 37.75, 38.00, 37.75, 37.85, 83100
06/20/23, 38.00, 38.00, 37.70, 37.90, 26000
06/19/23, 38.00, 38.00, 37.10, 37.50, 41000
06/16/23, 37.95, 37.95, 37.10, 37.15, 435800
06/15/23, 37.10, 38.00, 36.95, 37.10, 7078500
06/14/23, 37.55, 37.55, 37.05, 37.10, 1756600
06/13/23, 37.85, 37.95, 37.00, 37.10, 696600
06/12/23, 37.90, 37.95, 37.65, 37.85, 39500
06/09/23, 38.00, 38.00, 37.50, 37.90, 1007200
06/08/23, 38.30, 38.50, 36.80, 38.05, 188200
06/07/23, 39.00, 39.00, 38.20, 38.35, 137800
06/06/23, 39.00, 39.00, 38.20, 38.50, 768200
06/05/23, 38.50, 38.90, 38.00, 38.40, 133200
06/02/23, 38.00, 38.50, 37.90, 38.15, 72200
05/31/23, 38.80, 38.80, 37.00, 37.90, 920500
05/30/23, 37.95, 39.90, 37.95, 38.10, 295600
05/29/23, 36.80, 38.00, 36.50, 37.40, 35100
05/26/23, 37.45, 37.45, 36.40, 36.90, 3118400
05/25/23, 36.80, 37.20, 36.50, 36.80, 775900
05/24/23, 36.85, 36.95, 36.00, 36.55, 650500
05/23/23, 36.50, 36.50, 35.55, 35.80, 90800
05/22/23, 36.95, 37.85, 35.00, 36.55, 1346500
05/19/23, 39.25, 39.25, 37.60, 38.40, 3468000
05/18/23, 39.25, 39.25, 38.50, 38.75, 1010200
05/17/23, 39.80, 39.80, 39.00, 39.45, 577200
05/16/23, 40.00, 40.00, 39.60, 39.90, 1690500
05/15/23, 40.00, 41.50, 40.00, 40.50, 102400
05/12/23, 42.50, 42.50, 40.00, 40.80, 55800
05/11/23, 44.00, 44.00, 41.50, 42.40, 33800
05/10/23, 44.75, 44.75, 43.00, 43.30, 55800
05/09/23, 45.00, 45.00, 44.00, 44.35, 46200
05/08/23, 45.50, 45.50, 44.00, 44.95, 42800
05/05/23, 45.50, 45.80, 45.05, 45.55, 35100
05/04/23, 45.50, 45.80, 45.30, 45.65, 1467800
05/03/23, 45.80, 45.85, 45.30, 45.65, 67400
05/02/23, 46.00, 46.35, 45.50, 45.85, 51000
04/28/23, 45.80, 46.35, 45.80, 45.80, 185200
04/27/23, 46.00, 46.50, 45.80, 45.90, 171200
04/26/23, 46.35, 47.00, 45.80, 46.00, 1861800
04/25/23, 45.55, 47.00, 45.55, 46.35, 185200
04/24/23, 45.15, 46.00, 45.10, 45.30, 18900
04/20/23, 46.00, 46.25, 45.00, 45.15, 229700
04/19/23, 45.50, 46.00, 44.80, 45.05, 993000
